Year,Month,Day,Tmin,Tmax
1959,1,1,15.3,26.2
1959,1,2,20.4,27.2
1959,1,3,18.2,25.8
1959,1,4,12.8,27.8
1959,1,5,14.2,20.6
1959,1,6,15.0,22.8
1959,1,7,19.4,29.0
1959,1,8,14.7,31.8
1959,1,9,12.3,24.8
1959,1,10,21.0,31.5
1959,1,11,21.0,29.1
1959,1,12,21.0,30.0
1959,1,13,21.8,31.7
1959,1,14,23.1,31.0
1959,1,15,21.2,28.2
1959,1,16,18.3,22.8
1959,1,17,15.0,25.2
1959,1,18,14.7,29.6
1959,1,19,17.1,26.0
1959,1,20,17.0,32.3
1959,1,21,17.3,29.0
1959,1,22,17.5,33.1
1959,1,23,18.0,34.2
1959,1,24,21.9,33.5
1959,1,25,18.2,31.3
1959,1,26,19.1,26.5
1959,1,27,19.3,28.0
1959,1,28,17.7,27.5
1959,1,29,17.3,29.7
1959,1,30,15.3,32.8
1959,1,31,16.5,32.3
1959,2.0,1,20.5,32.9
1959,2.0,2,21.9,31.1
1959,2.0,3,22.7,33.9
1959,2.0,4,24.0,36.6
1959,2.0,5,20.4,33.2
1959,2.0,6,13.0,24.6
1959,2.0,7,12.6,25.0
1959,2.0,8,19.4,28.1
1959,2.0,9,20.4,32.0
1959,2.0,10,16.7,26.5
1959,2.0,11,16.7,32.4
1959,2.0,12,12.1,26.4
1959,2.0,13,21.5,31.8
1959,2.0,14,15.6,25.8
1959,2.0,15,17.4,29.7
1959,2.0,16,21.0,30.9
1959,2.0,17,21.5,30.5
1959,2.0,18,17.7,27.8
1959,2.0,19,13.6,19.6
1959,2.0,20,16.2,19.1
1959,2.0,21,17.9,27.1
1959,2.0,22,16.1,31.0
1959,2.0,23,18.5,28.7
1959,2.0,24,17.6,26.5
1959,2.0,25,20.9,28.8
1959,2.0,26,24.2,28.7
1959,2.0,27,24.2,30.5
1959,2.0,28,23.9,32.0
1959,2.0,29,,
1959,2.0,30,,
1959,2.0,31,,
1959,3.0,1,23.8,32.1
1959,3.0,2,20.0,34.0
1959,3.0,3,17.9,23.8
1959,3.0,4,18.3,30.7
1959,3.0,5,17.0,25.0
1959,3.0,6,15.1,25.4
1959,3.0,7,19.8,27.3
1959,3.0,8,17.8,27.6
1959,3.0,9,14.8,24.8
1959,3.0,10,9.4,21.1
1959,3.0,11,14.7,20.4
1959,3.0,12,16.7,20.4
1959,3.0,13,12.0,28.9
1959,3.0,14,15.9,29.0
1959,3.0,15,15.8,27.6
1959,3.0,16,17.8,23.0
1959,3.0,17,9.0,21.1
1959,3.0,18,7.6,21.5
1959,3.0,19,9.0,22.6
1959,3.0,20,16.2,22.6
1959,3.0,21,17.8,25.0
1959,3.0,22,19.5,28.3
1959,3.0,23,20.8,29.4
1959,3.0,24,19.5,27.2
1959,3.0,25,18.5,30.8
1959,3.0,26,14.6,25.5
1959,3.0,27,12.7,21.3
1959,3.0,28,14.0,23.5
1959,3.0,29,18.6,24.2
1959,3.0,30,21.4,24.5
1959,3.0,31,20.5,28.5
1959,4.0,1,19.0,21.7
1959,4.0,2,12.9,21.0
1959,4.0,3,4.3,17.9
1959,4.0,4,7.8,20.8
1959,4.0,5,12.1,21.1
1959,4.0,6,9.5,21.2
1959,4.0,7,17.3,20.8
1959,4.0,8,16.2,21.4
1959,4.0,9,16.6,22.6
1959,4.0,10,10.4,22.8
1959,4.0,11,18.0,24.5
1959,4.0,12,20.8,22.3
1959,4.0,13,18.1,21.3
1959,4.0,14,12.0,18.1
1959,4.0,15,11.0,13.8
1959,4.0,16,11.4,17.6
1959,4.0,17,8.9,19.6
1959,4.0,18,12.2,18.8
1959,4.0,19,14.2,22.7
1959,4.0,20,7.5,21.5
1959,4.0,21,17.0,19.4
1959,4.0,22,11.8,19.2
1959,4.0,23,4.1,15.1
1959,4.0,24,6.1,16.9
1959,4.0,25,8.5,13.2
1959,4.0,26,6.2,15.0
1959,4.0,27,2.9,16.5
1959,4.0,28,9.7,17.5
1959,4.0,29,14.3,19.0
1959,4.0,30,9.6,17.4
1959,4.0,31,,
1959,5.0,1,6.0,14.0
1959,5.0,2,10.4,15.1
1959,5.0,3,4.9,19.5
1959,5.0,4,7.1,21.3
1959,5.0,5,9.3,22.8
1959,5.0,6,11.4,24.1
1959,5.0,7,17.7,27.1
1959,5.0,8,14.6,19.8
1959,5.0,9,10.1,14.6
1959,5.0,10,10.4,12.6
1959,5.0,11,5.7,12.6
1959,5.0,12,1.8,13.6
1959,5.0,13,3.4,14.7
1959,5.0,14,9.6,13.9
1959,5.0,15,12.4,17.3
1959,5.0,16,6.2,20.2
1959,5.0,17,10.4,14.2
1959,5.0,18,3.5,12.3
1959,5.0,19,-0.2,14.9
1959,5.0,20,1.3,14.7
1959,5.0,21,4.5,15.6
1959,5.0,22,4.4,19.0
1959,5.0,23,4.9,18.5
1959,5.0,24,10.2,22.1
1959,5.0,25,8.4,21.5
1959,5.0,26,10.9,21.7
1959,5.0,27,13.6,20.6
1959,5.0,28,12.4,20.2
1959,5.0,29,13.3,17.8
1959,5.0,30,8.7,15.0
1959,5.0,31,9.4,16.3
1959,6.0,1,12.6,18.9
1959,6.0,2,5.4,15.5
1959,6.0,3,9.1,14.1
1959,6.0,4,10.7,14.0
1959,6.0,5,6.7,11.4
1959,6.0,6,2.7,17.0
1959,6.0,7,4.2,20.4
1959,6.0,8,7.6,13.6
1959,6.0,9,1.7,13.6
1959,6.0,10,2.8,15.6
1959,6.0,11,5.4,17.9
1959,6.0,12,4.3,13.9
1959,6.0,13,3.0,15.1
1959,6.0,14,5.9,16.1
1959,6.0,15,1.0,14.3
1959,6.0,16,8.6,14.2
1959,6.0,17,10.4,16.6
1959,6.0,18,13.4,16.5
1959,6.0,19,15.0,19.4
1959,6.0,20,10.0,19.0
1959,6.0,21,7.1,10.0
1959,6.0,22,6.7,12.5
1959,6.0,23,1.7,13.4
1959,6.0,24,8.0,12.5
1959,6.0,25,8.5,13.0
1959,6.0,26,5.0,15.4
1959,6.0,27,6.0,14.7
1959,6.0,28,11.5,14.1
1959,6.0,29,12.3,15.4
1959,6.0,30,9.6,16.3
1959,6.0,31,,
1959,7.0,1,8.0,13.4
1959,7.0,2,2.7,14.5
1959,7.0,3,6.5,13.8
1959,7.0,4,9.8,14.3
1959,7.0,5,7.6,11.6
1959,7.0,6,4.0,13.0
1959,7.0,7,5.3,12.2
1959,7.0,8,5.9,18.5
1959,7.0,9,9.3,18.8
1959,7.0,10,12.2,20.2
1959,7.0,11,14.5,21.6
1959,7.0,12,9.5,15.7
1959,7.0,13,11.7,22.5
1959,7.0,14,10.0,14.9
1959,7.0,15,3.6,10.5
1959,7.0,16,1.0,10.7
1959,7.0,17,9.6,11.7
1959,7.0,18,11.4,14.8
1959,7.0,19,14.8,18.3
1959,7.0,20,11.0,17.7
1959,7.0,21,7.8,15.0
1959,7.0,22,11.2,16.5
1959,7.0,23,13.8,17.0
1959,7.0,24,16.3,24.0
1959,7.0,25,17.5,26.7
1959,7.0,26,13.5,21.2
1959,7.0,27,9.6,16.1
1959,7.0,28,8.3,12.6
1959,7.0,29,6.4,9.4
1959,7.0,30,2.9,16.2
1959,7.0,31,5.5,15.5
1959,8.0,1,7.7,16.1
1959,8.0,2,6.4,15.9
1959,8.0,3,10.2,14.6
1959,8.0,4,12.8,16.1
1959,8.0,5,12.2,16.0
1959,8.0,6,7.1,13.8
1959,8.0,7,4.5,18.7
1959,8.0,8,8.3,20.0
1959,8.0,9,7.1,18.7
1959,8.0,10,10.1,24.0
1959,8.0,11,12.4,23.8
1959,8.0,12,6.5,15.4
1959,8.0,13,4.2,11.0
1959,8.0,14,4.3,15.5
1959,8.0,15,7.2,19.7
1959,8.0,16,10.2,23.4
1959,8.0,17,3.8,12.2
1959,8.0,18,1.0,12.5
1959,8.0,19,7.8,13.2
1959,8.0,20,11.8,15.6
1959,8.0,21,10.0,14.0
1959,8.0,22,8.3,14.1
1959,8.0,23,5.8,19.3
1959,8.0,24,5.4,21.5
1959,8.0,25,6.6,14.2
1959,8.0,26,6.8,10.8
1959,8.0,27,5.9,9.7
1959,8.0,28,6.1,10.7
1959,8.0,29,2.0,14.3
1959,8.0,30,3.5,11.4
1959,8.0,31,8.4,11.0
1959,9.0,1,6.2,17.2
1959,9.0,2,7.9,14.7
1959,9.0,3,3.7,14.4
1959,9.0,4,9.6,19.0
1959,9.0,5,11.8,20.0
1959,9.0,6,12.4,19.8
1959,9.0,7,4.6,20.0
1959,9.0,8,11.3,22.6
1959,9.0,9,7.4,20.5
1959,9.0,10,4.2,17.9
1959,9.0,11,3.5,14.1
1959,9.0,12,2.2,12.4
1959,9.0,13,8.2,15.5
1959,9.0,14,11.0,21.3
1959,9.0,15,15.4,26.1
1959,9.0,16,12.2,20.5
