,City,Urban station,Urban Lat,Urban Lon,Urban brightness,Urban start,Urban end,Rural station,Rural Lat,Rural Lon,Rural brightness,Rural start,Rural end
1,Mesa,USC00028499,33.425,-111.921,63.0,1953-01-01,2016-07-31,USC00028214,33.557,-111.535,7.0,1961-04-01,2016-09-30
2,Grand Prairie,USW00003927,32.897,-97.018,63.0,1948-01-01,2016-10-31,USC00410518,32.263,-96.636,9.0,1965-04-01,2016-10-31
6,Grand Prairie,USW00003927,32.897,-97.018,63.0,1948-01-01,2016-10-31,USC00410518,32.263,-96.636,9.0,1965-04-01,2016-10-31
10,Long Beach,USW00023129,33.811,-118.146,63.0,1949-01-01,2016-09-30,USC00046006,34.23,-118.071,14.0,1948-07-01,2016-08-31
11,Hartford,USW00014752,41.736,-72.65,62.0,1920-01-01,2016-09-30,USC00065445,41.972,-73.22,7.0,1884-11-01 00:00:00,2016-10-31
12,Providence,USW00014765,41.721,-71.432,62.0,1948-01-01,2016-09-30,USC00375270,41.856,-71.733,12.0,1974-10-01,2016-07-31
13,Birmingham,USW00013876,33.565,-86.745,63.0,1930-01-01,2016-09-30,USC00010505,33.452,-87.357,7.0,1957-02-01,2016-07-31
14,St. Petersburg,USW00012842,27.961,-82.54,63.0,1939-02-01,2016-09-30,USC00086065,27.241,-82.316,7.0,1956-02-01,2016-08-31
15,Virginia Beach,USW00013769,36.816,-76.033,63.0,1945-03-01,2016-09-30,USC00440385,36.661,-75.911,5.0,1953-12-01,2016-09-30
16,Oakland,USC00046336,37.798,-122.264,63.0,1970-10-01,2016-10-31,USC00045915,37.879,-121.93,9.0,1952-04-01,2016-09-30
17,West Palm Beach,USW00012844,26.684,-80.099,63.0,1938-07-01,2016-09-30,USC00081276,26.863,-80.625,14.0,1953-01-01,2016-10-31
18,Louisville,USW00093821,38.181,-85.739,63.0,1948-01-01,2016-09-30,USC00150630,37.916,-85.657,11.0,1970-03-01,2016-10-31
19,Charlotte,USW00013881,35.223,-80.955,63.0,1939-07-01,2016-09-30,USC00314996,35.46,-81.328,13.0,1952-04-01,2016-10-31
20,Columbus,USW00014821,39.991,-82.88,63.0,1948-01-01,2016-10-31,USC00331404,40.291,-82.654,10.0,1950-12-01,2016-10-31
23,St. Paul,USW00014922,44.883,-93.228,63.0,1938-04-01,2016-09-30,USC00211227,45.55,-93.126,11.0,1893-01-01 00:00:00,2016-09-30
24,Tucson,USW00023160,32.131,-110.955,63.0,1946-06-01,2016-09-30,USC00020287,31.979,-111.383,4.0,1942-12-01,2016-10-31
25,Fresno,USW00093193,36.78,-119.719,62.0,1948-01-01,2016-09-30,USC00040379,37.091,-119.512,7.0,1915-07-01,2016-09-30
26,Albuquerque,USW00023050,35.041,-106.615,62.0,1931-03-01,2016-09-30,USC00299820,35.947,-106.746,3.0,1952-07-01,2016-10-31
27,Kansas City,USW00013988,39.12,-94.596,63.0,1934-01-01,2016-09-30,USC00143686,38.664,-94.89,7.0,1985-02-01,2016-11-30
28,Tulsa,USW00013968,36.199,-95.887,62.0,1938-12-01,2016-09-30,USC00347390,36.504,-96.743,6.0,1959-04-01,2016-11-30
30,Austin,USW00013958,30.32,-97.76,63.0,1938-06-01,2016-09-30,USC00413686,30.718,-97.321,5.0,1980-07-01,2016-10-31
31,El Paso,USW00023044,31.811,-106.375,63.0,1942-12-01,2016-09-30,USC00294426,32.616,-106.74,3.0,1914-06-01,2016-10-31
32,Orlando,USW00012815,28.433,-81.325,63.0,1952-05-01,2016-10-31,USC00081641,28.455,-81.723,11.0,1948-07-01,2016-06-30
33,Jacksonville,USC00084366,30.287,-81.392,61.0,1944-07-01,2016-09-30,USC00082915,29.755,-81.538,5.0,1892-01-01 00:00:00,2016-10-31
34,Indianapolis,USW00093819,39.707,-86.28,62.0,1948-01-01,2016-09-30,USC00128784,40.223,-86.108,9.0,1971-08-01,2016-11-30
35,Richmond,USC00444101,37.299,-77.277,62.0,1916-10-01,2016-10-31,USC00448829,37.743,-77.04,6.0,1932-07-01,2016-07-31
36,Baltimore,USW00093721,39.166,-76.683,63.0,1939-07-01,2016-09-30,USC00182060,39.655,-76.175,18.0,1936-01-01,2016-07-31
37,San Jose,USW00023244,37.405,-122.048,63.0,1945-03-01,2016-09-30,USC00045933,37.343,-121.642,5.0,1948-07-01,2016-09-30
38,Sacramento,USW00023271,38.555,-121.416,63.0,1877-07-01 00:00:00,2016-09-30,USC00043384,38.933,-120.8,4.0,1954-01-01,2016-10-31
39,Las Vegas,USW00023169,36.071,-115.163,63.0,1948-09-01,2016-10-31,USC00262243,36.438,-115.36,5.0,1940-04-01,2016-10-31
40,Portland,USW00024229,45.59,-122.6,63.0,1938-04-01,2016-09-30,USS0023D02S,45.53,-123.3,4.0,1980-06-01,2016-11-30
41,Salt Lake City,USW00024127,40.778,-111.969,63.0,1948-01-01,2016-09-30,USC00425892,40.749,-111.722,18.0,1927-07-01,2016-09-30
42,Omaha,USW00014942,41.31,-95.899,63.0,1948-01-01,2016-09-30,USC00255362,41.143,-96.48,9.0,1968-10-01,2016-09-30
43,Oklahoma City,USW00013967,35.388,-97.6,58.0,1948-01-01,2016-09-30,USC00345779,35.505,-96.977,7.0,1894-01-01 00:00:00,2016-10-31
44,San Antonio,USW00012921,29.544,-98.483,63.0,1946-09-01,2016-09-30,USC00417215,29.028,-98.568,19.0,1941-11-01,2016-09-30
45,Raleigh,USC00317079,35.794,-78.698,63.0,1892-01-01 00:00:00,2016-07-31,USC00317656,35.534,-79.046,7.0,1972-11-01,2016-09-30
46,Cleveland,USW00014820,41.413,-81.86,62.0,1938-05-01,2016-09-30,USC00333780,41.307,-81.013,11.0,1893-06-01 00:00:00,2016-09-30
47,Cincinnati,USW00093812,39.103,-84.418,62.0,1949-04-01,2016-09-30,USC00339361,39.604,-83.907,8.0,1916-11-01,2016-09-30
48,Nashville,USW00013897,36.118,-86.689,62.0,1948-01-01,2016-09-30,USC00401663,36.321,-87.221,13.0,1971-05-01,2016-09-30
49,Memphis,USW00013893,35.056,-89.986,63.0,1940-01-01,2016-09-30,USC00033821,35.687,-90.096,9.0,1959-05-01,2016-09-30
50,Norfolk,USW00013750,36.95,-76.283,63.0,1945-02-01,2016-09-30,USC00440385,36.661,-75.911,5.0,1953-12-01,2016-09-30
52,Buffalo,USW00014733,42.948,-78.736,63.0,1938-05-01,2016-09-30,USC00308910,42.739,-78.587,18.0,1949-01-01,2016-10-31
53,Pittsburgh,USW00094823,40.484,-80.214,59.0,1948-01-01,2016-10-31,USC00362942,40.713,-79.514,11.0,1943-07-01,2016-11-30
54,Minneapolis,USW00014922,44.883,-93.228,63.0,1938-04-01,2016-09-30,USC00211227,45.55,-93.126,11.0,1893-01-01 00:00:00,2016-09-30
55,Honolulu,USC00519397,21.271,-157.816,62.0,1965-01-01,2016-09-30,USC00519523,21.335,-157.711,24.0,1969-09-01,2016-08-31
56,Seattle,USC00458278,47.247,-122.412,63.0,1982-03-01,2016-10-31,USC00454486,47.376,-121.961,15.0,1915-01-01,2016-10-31
57,Phoenix,USW00023183,33.427,-112.003,63.0,1933-06-01,2016-09-30,USC00024829,33.336,-112.147,29.0,1948-07-01,2016-07-31
