Rural station,0,1,2,3,4,5,6,7,8,9
USC00065445,19850101.0,800.0,,,,,,,,
USC00375270,19850101.0,2300.0,,,,,,,,
USC00010505,19850101.0,700.0,19920401.0,400.0,,,,,,
USC00045915,19850101.0,800.0,,,,,,,,
USC00081276,19850101.0,800.0,20070401.0,700.0,,,,,,
USC00150630,19850101.0,1600.0,,,,,,,,
USC00314996,19850101.0,1900.0,19871201.0,1800.0,,,,,,
USC00331404,19850101.0,800.0,,,,,,,,
USC00020287,19850101.0,1800.0,,,,,,,,
USC00040379,19850101.0,1700.0,,,,,,,,
USC00299820,19850101.0,1700.0,,,,,,,,
USC00143686,19850201.0,800.0,,,,,,,,
USC00347390,19850101.0,1900.0,19990701.0,700.0,,,,,,
USC00413686,19850101.0,800.0,,,,,,,,
USC00294426,19850101.0,800.0,,,,,,,,
USC00081641,19850101.0,1700.0,20020801.0,800.0,,,,,,
USC00082915,19850101.0,1800.0,20140401.0,900.0,,,,,,
USC00128784,19890101.0,700.0,19910827.0,545.0,20010429.0,600.0,20110901.0,530.0,,
USC00448829,19850101.0,1800.0,,,,,,,,
USC00182060,19850101.0,2400.0,20011022.0,700.0,,,,,,
USC00045933,19850101.0,1600.0,,,,,,,,
USC00043384,19850102.0,800.0,,,,,,,,
USC00262243,19850101.0,1600.0,19860321.0,700.0,,,,,,
USS0023D02S,,,,,,,,,,
USC00425892,19850101.0,1700.0,19960101.0,1600.0,,,,,,
USC00255362,19850101.0,1700.0,19880101.0,1630.0,19890906.0,800.0,,,,
USC00345779,19850101.0,1600.0,19870706.0,1800.0,19971101.0,700.0,,,,
USC00417215,19850101.0,800.0,,,,,,,,
USC00317656,19850101.0,1700.0,,,,,,,,
USC00333780,19850101.0,2300.0,19950111.0,830.0,,,,,,
USC00339361,19850101.0,1800.0,19861211.0,700.0,,,,,,
USC00401663,19850101.0,600.0,,,,,,,,
USC00033821,19850101.0,800.0,,,,,,,,
USC00440385,19850101.0,1600.0,,,,,,,,
USC00308910,19860101.0,700.0,,,,,,,,
USC00362942,19850101.0,800.0,20120308.0,700.0,,,,,,
USC00211227,19850201.0,2300.0,20041027.0,600.0,,,,,,
USC00519523,19850101.0,700.0,,,,,,,,
USC00454486,19850201.0,2400.0,,,,,,,,
USC00024829,19850101.0,1830.0,19880311.0,2200.0,20030701.0,1900.0,,,,
USC00043914,19850101.0,700.0,,,,,,,,
USC00236826,19850101.0,700.0,19930601.0,800.0,,,,,,
USC00169013,19850101.0,1700.0,19900101.0,700.0,19940401.0,800.0,,,,
USC00410518,19850101.0,800.0,,,,,,,,
USC00086065,19850101.0,1700.0,,,,,,,,
USC00058022,19850101.0,800.0,,,,,,,,
USC00410586,19850101.0,700.0,19880323.0,800.0,,,,,,
USC00087760,19850101.0,1400.0,19870701.0,2400.0,,,,,,
USC00095988,19850101.0,700.0,19851201.0,1600.0,20010802.0,800.0,,,,
USC00125174,19850101.0,730.0,19891208.0,2400.0,19990101.0,700.0,20111020.0,800.0,,
USC00046006,19850101.0,1500.0,20030701.0,2400.0,,,,,,
USC00185865,19850101.0,1900.0,20100524.0,700.0,,,,,,
