City,slope,r,pvalueWald,pvalueT,anom_slope,anom_r,anom_pvalueWald,anom_pvalueT,mean UHI,mean rural,mean urban,mean_summer_tvsdt_m,mean_summer_tvsdt_r,mean_summer_tvsdt_p,trend_r,trend_r_p,trend_u,trend_u_p,hw_slope,hw_r,hw_pvalueWald,hw_pvalueT
Mesa,0.87040015486,0.877536494819,1.86373048427e-22,1.03784439834e-21,0.865247549792,0.875879844602,4.78973724662e-24,3.46637532772e-23,0.927457098283934,23.707581699346377,24.623784194528856,1.01148996182,0.901090119702,4.54922241384e-06,0.0241997767801,0.00383950374329,0.0642638764428,0.0756703812146,0.783054301584,0.450008613959,0.115643438627,0.118131417028
Grand Prairie,0.764973970034,0.76179999117,1.67251016586e-39,3.21194884846e-37,0.756227715999,0.772681591387,2.80882471018e-46,3.76212747341e-43,0.7989449886963093,22.88978149100259,23.435505617977537,0.936478750286,0.699343233581,0.00371196317878,0.0368617760683,0.182226594772,-0.027437122295,0.590034111007,0.867941936278,0.312050564697,0.650883288788,0.652078280878
Irvine,0.240647850405,0.483828564934,0.0,0.0,0.213528986266,0.483346207285,0.0,0.0,1.0547218628719273,16.17076135636596,17.253522947640608,0.789537252476,0.694973638482,0.00195729545232,0.03052492318,0.000254251657925,0.145176893445,0.000818184281323,0.367149721979,0.335756864586,9.38534869104e-14,7.38096004363e-12
New Haven,0.764753361356,0.831187714214,2.19670127618e-65,1.83462936038e-59,0.757413372985,0.823817620626,6.07786365358e-67,9.55542682803e-61,3.917523533671259,14.351975051975058,18.228628495339553,0.617426735441,0.748751525667,0.000543576485267,0.0676693047032,0.37740515247,0.0229545260878,0.533618934641,0.596111730481,0.445275330407,7.11450087324e-05,0.000113740268085
Fort Lauderdale,0.524072522669,0.449574073802,1.77064973085e-65,1.30356544771e-59,0.566921618528,0.446793394361,3.64137011567e-46,3.34722637877e-43,1.6613571428571396,22.864944903581293,24.54123097286569,0.391104817721,0.614163500498,0.0087191492102,0.0688189252847,0.192411785694,0.0412644340073,0.0356823851471,0.160521235242,0.0609829343302,0.000132980056035,0.00019769617241
Long Beach,0.217068796892,0.467318136926,0.0,0.0,0.206302207045,0.489086349739,0.0,0.0,0.4396020539152761,17.252631578947362,17.683375959079257,0.508663685669,0.461227557029,0.0623925669944,0.045394441686,0.959720866513,0.0476369352089,0.25987438909,0.191918669139,0.143493391566,1.11016660389e-13,8.14352772886e-12
Hartford,0.819466535121,0.851354376682,1.58791450072e-44,5.43288012418e-42,0.833545000192,0.869222999976,5.38831182504e-43,1.24429546922e-40,3.5321172638436527,13.785436893203853,17.303863490019307,0.516412023811,0.493555474671,0.0440730798144,-0.0304289300627,0.00171206399704,0.0759455137123,0.0514074620882,0.742016339113,0.517268657494,0.0105738288324,0.0115811550527
Providence,0.99002122976,0.903694677138,0.473373631865,0.473521021182,0.989905225307,0.902878730462,0.470374533172,0.470523088583,0.6624780316344496,15.068386675375562,15.903763900769901,1.00064422045,0.863847953482,0.000140783084733,0.0465425186057,0.405123124256,0.0276928543028,0.580816417512,0.895995566452,0.512926168911,0.464944976643,0.466484582206
Birmingham,0.773414278748,0.77563901233,6.26563860208e-32,4.13286646322e-30,0.756147412312,0.76174989086,3.11651955184e-35,5.13095254554e-33,0.016463985032740866,20.837491090520295,21.112552301255228,0.957893889398,0.826233781185,0.000499067610614,0.0720651911254,0.407647477033,0.0441585111019,0.433905304903,0.567392497633,0.339768977073,0.00137258457998,0.00171123491065
St. Petersburg,0.564610512891,0.617219726821,2.13262722919e-103,2.30598971148e-88,0.572799438216,0.63466293133,5.93593397076e-106,3.15020933197e-90,1.0022727272727265,21.825547996976628,22.688367481824258,0.552615116155,0.503866493141,0.0465932242323,0.0230785032526,0.0823060664961,0.0957650253795,0.000392592987071,0.0194963753661,0.0142213326922,4.23187198484e-18,7.21010647706e-15
Virginia Beach,0.890079149944,0.751628208063,1.04430603034e-06,1.18474257787e-06,0.913111918966,0.780190480253,3.82060638344e-05,4.08133290349e-05,-1.1847429519071293,22.274537037037028,21.09075018208304,0.649698863145,0.531271147056,0.0415541784877,0.134552602536,0.61209498147,0.122435483771,0.0289146747649,0.179767532125,0.0724357446717,7.41130839284e-05,0.000116565280494
Oakland,0.101767182312,0.327974347214,0.0,0.0,0.0934637692089,0.327409087405,0.0,0.0,-0.07330447330447257,13.651178451178438,13.541433447098905,0.252169051388,0.340098230289,0.181653452104,0.0173876085551,0.981842119986,0.0138425202212,0.667131467623,0.313791536642,0.347325272138,1.30507254035e-21,6.3189239635e-17
West Palm Beach,0.600537593148,0.515326950566,1.33869393859e-44,1.75257795282e-41,0.655502851443,0.577909448038,7.62116342764e-39,1.78535083037e-36,1.3348250610252257,22.279378980891728,23.61522601110236,0.336446906533,0.254467531241,0.379975043885,0.000242965005757,0.0287272165191,0.112308370459,0.0132370060097,0.522006289078,0.199730462866,0.0236341207962,0.0250989029877
Louisville,0.714540886538,0.781347256616,6.03444224372e-80,1.57035145724e-71,0.693908099944,0.768207143811,2.61604831617e-89,6.23831136893e-79,2.559512195121943,17.379621162638788,19.97505112474436,1.01419117319,0.948375594203,2.28481197601e-08,0.0294941268452,0.109972414222,0.0470079380693,0.380494667529,0.576074928778,0.228824159225,0.0359719254948,0.0376838478442
Charlotte,0.764553954464,0.77903524355,2.28793681454e-35,4.18752090866e-33,0.766534282804,0.780277248043,6.69109815924e-35,1.06867250471e-32,0.0663187855787479,20.114849624060195,20.131968810916106,0.684458411537,0.747168284387,0.00522486651256,0.0396961815216,0.227269650625,0.0095564069349,0.770184224125,1.19727140427,0.424900083583,0.346776234173,0.348309362904
Columbus,1.00255283501,0.890795955251,0.849041282894,0.849067853439,0.999817755574,0.888338862775,0.989271716032,0.989273560711,1.2870879120879097,15.796073298429334,17.08409395973154,1.03846169808,0.874844915691,4.31808017042e-06,0.0370509497659,0.0642428423095,0.0706776830941,0.131884031539,0.955521327542,0.369890812533,0.824010262118,0.824325373448
San Bernardino,0.522243538359,0.553177251148,1.07859395435e-85,3.46768893014e-73,0.533485899013,0.569221611685,3.94886038867e-85,8.95583153924e-73,8.009760765550235,9.692049180327878,17.371082513247522,0.305002220633,0.26399735572,0.341720453997,0.122314951936,0.0404438183791,0.0286771089151,0.505490879394,-0.518124641255,-0.168223098865,1.04623612884e-08,6.78478653515e-08
St. Paul,0.795513974914,0.863411102552,2.29043308422e-53,6.41088633154e-49,0.798325057105,0.863358274362,1.39542613639e-51,2.02539391765e-47,2.231617647058823,14.172509960159351,16.450065274151427,0.814354573866,0.854171042926,0.000100651975024,0.0812512709764,0.0492230790069,-0.00399505983653,0.93776413376,0.707551384407,0.519792532198,0.00229517272485,0.00272282368841
Tucson,0.499830933235,0.499494883531,1.11321429211e-95,8.03506774676e-83,0.496564223687,0.49694982451,7.29678857404e-97,1.04353341912e-83,7.195910493827149,14.963546099290795,22.322657952069733,0.186026649149,0.249547280852,0.369742744082,0.0943462053488,0.309138146265,0.0642354987145,0.0247502892306,0.153756855152,0.0693156017021,4.12636721129e-06,8.94873449063e-06
Fresno,0.591908316394,0.824685387196,2.23951945404e-293,2.42910355004e-203,0.589099770991,0.823443430034,1.96233825688e-297,2.36854422476e-205,-1.5220632530120486,20.176434426229516,18.619044272663405,0.532538919004,0.712591181856,0.00132666429832,0.0864064725803,0.902448654005,0.0729587854951,0.0292617021849,0.639935856141,0.32648392977,0.0214733002934,0.0229524939733
Albuquerque,0.66345709951,0.730193813017,1.03888286484e-66,1.10516958189e-58,0.654063157033,0.708229673966,5.5722897955e-64,1.45567805087e-56,0.7940886699507419,16.351061946902632,17.20637992831539,0.312756780823,0.399043991225,0.140631828443,0.012890440793,0.128987097251,0.0645257194658,0.0394559194661,0.594063443998,0.379337209208,0.00108670525582,0.00137571978676
Kansas City,0.857499806119,0.884658705705,9.8300482634e-32,2.53997379881e-30,0.858646106041,0.889761226294,8.23022051159e-33,2.67109621011e-31,0.017919075144508585,18.99926910299001,19.051642208245994,0.830970854587,0.790243083547,0.000160066028335,0.00336318029022,0.976428504539,0.00118178652901,0.980533082156,0.683027187956,0.46974014576,0.0037222084995,0.00433319596054
Tulsa,0.891179293528,0.895540894859,1.83819778973e-15,4.7388369842e-15,0.882582463988,0.880593625778,1.24879331679e-15,3.291479314e-15,-0.7277407054337486,21.22740549828178,20.427423822714744,0.967679448295,0.940330489775,1.75297736972e-06,0.143072710086,0.444826416661,0.0854326507253,0.147989242572,0.351370246085,0.2201815862,7.50511563781e-07,2.10728528594e-06
Ft. Worth,0.890275477067,0.893507537107,4.92936139705e-17,1.40352819942e-16,0.873697961122,0.888234619465,1.17004036822e-21,6.63181464354e-21,0.24957337883959044,23.36595563139933,23.542007672634263,0.93020123394,0.887549094819,2.28164328712e-05,0.11321823233,0.124295339725,0.0881393861893,0.0802798958957,0.900909024798,0.547640260858,0.381141545768,0.382560733444
Austin,0.677546234934,0.726502824253,2.66745221067e-62,1.04302179459e-55,0.679767800683,0.715239659085,2.39011215637e-57,1.00729860005e-51,-0.36502732240437175,22.22987179487185,21.92599999999998,0.656379345444,0.850384491558,0.000456717306104,0.0366609988477,0.0712794025087,0.0251539430469,0.619235300373,-0.178866392282,-0.185225713731,3.56746503446e-42,4.40875851347e-26
El Paso,0.496404860633,0.698075465249,2.75584657529e-281,9.76779437514e-197,0.491782345718,0.699176293658,1.36485833883e-293,6.86024730777e-203,3.512775665399242,16.203854875283444,19.718556701030884,0.574091414453,0.663341389919,0.00369724654544,0.0625919515133,0.988843379981,0.0643545955286,0.0339187013758,0.520319532449,0.442514649227,3.1245394868e-08,1.38343319743e-07
Orlando,0.638066731142,0.698505037747,7.50544833756e-77,3.0435214534e-67,0.641240664577,0.721973936635,3.19122325602e-85,1.44109198597e-73,0.8154666666666732,21.561720807726072,22.254409857328177,0.421663496952,0.35210359882,0.238050018365,-0.00686813186813,0.295431408764,0.0348658177341,0.157035904108,0.431579255429,0.21540119335,0.000427739394238,0.0005701753217
Jacksonville,0.5315179135,0.628501008749,2.99940362033e-123,5.07305236466e-100,0.500076528939,0.610632749993,4.88873188669e-144,1.97945130021e-113,0.8771117166212529,22.894550408719354,23.649166666666748,0.995718984364,0.849563631716,0.000468704090559,-0.00595374947476,0.822882173752,0.0331174302986,0.173459466859,0.965097995643,0.526990291305,0.784999766731,0.785380044927
Indianapolis,0.882749297622,0.906061171865,3.60057653617e-25,2.94186098168e-24,0.895364701417,0.91406707565,8.12274542465e-22,3.8690880211e-21,0.46654135338346026,18.12225563909772,18.42060140754958,0.783370942633,0.82873399331,0.000134469173779,-0.00162077610822,0.756821051359,0.0629269893576,0.237284990084,0.81524284007,0.46113079919,0.151917386908,0.15402629177
Richmond,0.704561312985,0.757269696468,2.92553930718e-62,4.73105080308e-56,0.70883841918,0.758244938762,3.61317249211e-60,2.35684562271e-54,0.9958297872340438,18.512261580381498,19.567146282973578,0.622640450087,0.775183656813,0.00112592400523,0.0438116764448,0.0312091990244,-0.0050400733471,0.887211838704,0.81565923676,0.318526504997,0.419500568418,0.42119658125
Baltimore,0.690816810905,0.788043082817,3.73552912971e-113,4.36300565294e-98,0.68932276933,0.822066822411,2.16651597586e-145,1.58367099714e-121,4.802309172546505,16.989130434782602,21.770196575776804,0.724830171696,0.470720018089,0.056515451863,0.00589034526854,0.0558707708788,0.0508864164356,0.312131453161,1.02239601849,0.424762277179,0.900495389504,0.90066506545
San Jose,0.168809005615,0.454595508547,0.0,0.0,0.16830375214,0.463271717787,0.0,0.0,-2.9692929292929287,17.18069939475455,14.154481434058852,0.255911844702,0.290266210438,0.258397597043,0.0095356961161,0.573935187882,0.0266412096239,0.263080143208,0.438859600841,0.333346887596,3.80092116907e-08,1.62749325418e-07
Sacramento,0.617127449143,0.866510209231,0.0,2.57920201948e-263,0.621330896975,0.880500115768,0.0,7.09368376729e-282,2.1022392834292942,13.752655150351924,15.8550511508951,0.53761520322,0.651380941306,0.00461681935756,0.110166474617,9.03211388287e-05,0.0100863171355,0.769818119099,0.865929442322,0.66538137318,0.0931747978711,0.0952848841476
Las Vegas,0.660908603445,0.749612502001,1.72935560693e-103,2.12038541568e-89,0.65731916107,0.7483249977,5.73908590284e-106,3.01182422801e-91,5.773338150289014,19.219006044325052,25.000685871056238,0.794727478823,0.812431149096,0.000131276562505,0.0287552759896,0.760010677232,0.0398915805784,0.185289446036,0.602127340697,0.330079356115,0.00664092837267,0.00748880081033
Portland,0.772081233377,0.865275344372,1.32663635588e-78,4.59948833051e-70,0.77234070112,0.868920785852,5.15532661599e-81,5.69156228137e-72,2.113097866077995,11.243087051938565,13.243894601542426,0.782266317643,0.829289395657,0.000131846855534,0.0459454636978,0.894273077748,0.0665877034387,0.0574458706789,0.619160573474,0.568796505406,2.28033350074e-07,7.3066153959e-07
Salt Lake City,0.998731434687,0.764764957655,0.954774520697,0.954782527464,1.00527095553,0.753282207674,0.821279291777,0.821311915536,6.9698659139026,11.575528289025216,18.1180426098535,0.701941716384,0.72208727418,0.00106330178811,0.0149934897925,0.0599156996884,0.00688989132859,0.877057192506,0.82292500094,0.255068481841,0.503354765994,0.504464792816
Omaha,0.829361041575,0.796810408982,1.33070791874e-26,1.0184014324e-25,0.818578572883,0.791680153341,1.31629421393e-29,1.66241484373e-28,1.922709677419349,16.526645161290293,18.451726342711016,0.949902877613,0.858524111133,1.03053366921e-05,-0.0305448331989,0.000235206333766,0.0567881500426,0.315608903539,0.527144660739,0.214521676296,0.0165391996276,0.0177871660338
Oklahoma City,0.74712530833,0.865264730208,5.67226830261e-115,3.6882827057e-99,0.750670792686,0.863537920874,4.38868790169e-109,9.69328874592e-95,0.7644356955380591,20.290491803278687,21.06385156749841,0.705455248596,0.86515636979,7.33533834982e-06,0.122881884208,0.00014197779506,0.0349078218244,0.465778900505,0.73287908112,0.503554496541,0.00975522903524,0.0107222370373
San Antonio,0.833793673891,0.707540419447,1.52980133222e-13,2.6473104028e-13,0.824818727265,0.717345473867,5.91746582103e-16,1.29309729543e-15,-0.07702407002188177,22.35012804097314,22.230029154518974,0.991187506756,0.656663250363,0.00572276732709,0.0634668081279,0.9961863902,0.0705948920148,0.154485740189,0.254624675863,0.113842977756,0.000211354131914,0.000318936978945
Raleigh,0.622059988561,0.703842266735,1.74960776357e-77,2.32627925077e-66,0.633184813517,0.700355455682,2.77701172888e-69,2.98158639788e-60,1.8888541666666647,18.72519920318723,20.430206254158314,0.44794159826,0.779083976226,0.00169601055433,0.0453336057849,0.721498724809,0.0531779792968,0.0264729342391,0.586239218772,0.308528523411,0.00804953060107,0.00901821670502
Cleveland,0.853552462945,0.83022677941,6.7633272505e-24,3.42247191073e-23,0.838894907295,0.830754322388,1.22684249243e-29,1.53858257087e-28,2.4879974326059076,14.48305519897303,16.967007672634278,1.2332516771,0.865831447892,7.07882910337e-06,0.0293901037747,0.0618454697926,0.0777893222506,0.113199762435,0.681788696838,0.343651383267,0.0377275949779,0.0394548947364
Cincinnati,0.934084987652,0.873869655644,1.38582833688e-05,1.50576264735e-05,0.922054250297,0.865608329461,5.52272395377e-07,6.36784145399e-07,-0.3628401360544216,18.15556499575188,17.737067861715726,0.971915990022,0.927410398296,1.80386925904e-06,0.0516458158407,0.304821850602,0.0578257766317,0.27829418731,0.321364301439,0.207641926317,4.94583911729e-08,2.02566477073e-07
Nashville,0.806534502159,0.788076169146,1.68883491808e-19,1.07947249041e-18,0.838566453896,0.787337180376,4.80761550659e-13,1.0578666516e-12,-0.2925028835063434,18.33034188034183,18.091319444444437,0.606661434068,0.76211983573,0.000957424429781,0.0336016020514,0.301964374336,0.0297367426016,0.65243221087,0.629561929968,0.228889165548,0.131234972157,0.133885557322
Memphis,0.758972540328,0.77149313556,4.89991429991e-48,6.76513249922e-45,0.721453060004,0.747822513507,8.98872149029e-61,8.53710211358e-56,-1.778351955307255,21.867618429591182,20.156769759450192,1.05453158222,0.927664759707,8.28085131582e-08,0.0995506221259,0.0437815499225,0.144752815804,0.00685800572592,0.367254933602,0.128903972223,0.00719908560434,0.00804697327526
